Time,ID,LAT,LON,ALT,#WiFi networks,SSID1,MAC1,Frequncy1,Signal1,SSID2,MAC2,Frequncy2,Signal2,SSID3,MAC3,Frequncy3,Signal3,SSID4,MAC4,Frequncy4,Signal4,SSID5,MAC5,Frequncy5,Signal5,SSID6,MAC6,Frequncy6,Signal6,SSID7,MAC7,Frequncy7,Signal7,SSID8,MAC8,Frequncy8,Signal8,SSID9,MAC9,Frequncy9,Signal9,SSID10,MAC10,Frequncy10,Signal10
01/12/2017 11:11,PB2-690Y_S200032_161214,32.17168939,34.8129304,36,1,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,2437,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:10,PB2-690Y_S200032_161214,32.16879785,34.81168165,32,1,Talfamily2,90:8d:78:b6:28:f6,2432,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,NRD90M.G950FXXU1AQJ5,32.17043065,34.81119994,40.92626597,2,shlomi,d8:5d:4c:d9:c4:68,2412,-65,gononsmarthome,18:cc:23:00:18:45,2422,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,NRD90M.G950FXXU1AQJ5,32.17005823,34.81236875,40.07246693,1,ter123,70:4d:7b:0c:89:50,2437,-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:07,NRD90M.G950FXXU1AQJ5,32.17238245,34.81347918,38.90856297,1,Bezeq Free GA32E3,52:b0:ce:ac:32:98,2412,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,NRD90M.G950FXXU1AQJ5,32.1715574,34.81175227,41.42241716,1,SEW132_23574336,08:97:58:31:e0:c6,2422,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,NRD90M.G950FXXU1AQJ5,32.1701938,34.81108804,41.08481809,1,stephane,00:24:2b:cf:13:21,2412,-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,PB2-690Y_S200032_161214,32.16965679,34.81081664,26,1,oved-main,74:da:39:54:b8:1d,2437,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:11,PB2-690Y_S200032_161214,32.17192126,34.81295967,34,3,Oded 5Ghz,00:12:2a:e1:6c:4c,5240,-87,Oded,14:cc:20:76:b8:2a,2462,-94,Oded 2.4Ghz,00:12:2a:e1:6c:48,2462,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:10,PB2-690Y_S200032_161214,32.16894005,34.81185931,31,1,Candan,c0:ff:d4:7b:82:30,2412,-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.17167256,34.81294533,30,1,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,2437,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:10,PB2-690Y_S200032_161214,32.16967507,34.81084759,30,1,  InnovationEndeavors,74:da:38:a9:1c:df,2417,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:04,NRD90M.G950FXXU1AQJ5,32.17256794,34.81218573,43.0700849,2,Gil Kitchen,80:1f:02:a3:7d:62,2437,-83,varda,c4:12:f5:85:27:c2,2412,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,NRD90M.G950FXXU1AQJ5,32.16881184,34.8117497,40.65000112,3,LRWN,0c:f4:d5:29:a2:9c,5180,-83,HOTFiber-400D,40:65:a3:2b:62:22,2437,-83,HP-Setup>77-M277 LaserJet,92:cd:b6:2b:e9:77,2412,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,NRD90M.G950FXXU1AQJ5,32.17134388,34.81166865,41.11423605,3,HOTBOX-1966,6c:2e:85:fe:da:b8,2437,-75,SEW132_23574336,08:97:58:31:e0:c6,2422,-79,ronkla2,3c:1e:04:07:2a:fe,2437,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:11,PB2-690Y_S200032_161214,32.17146616,34.81290244,38,2,hot,00:1c:10:09:4f:bc,2422,-84,Floor 2,74:da:38:b6:f3:7a,2417,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:09,PB2-690Y_S200032_161214,32.17106538,34.81150977,30,3,G10,c0:ac:54:f8:0c:ac,2462,-94,TP-LINK-BET,f8:d1:11:ce:e5:e6,2427,-96,HP-Print-AF-Officejet Pro 6830,28:80:23:40:5f:af,2437,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,NRD90M.G950FXXU1AQJ5,32.16893476,34.81185601,40.33049913,1,LRWN,0c:f4:d5:29:a2:9c,5180,-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,PB2-690Y_S200032_161214,32.17131792,34.81162405,29,1,SEW132_23574336,08:97:58:31:e0:c6,2422,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:07,PB2-690Y_S200032_161214,32.17230093,34.81393684,34,2,Orit,c4:a8:1d:12:7d:4c,2437,-78,Basement,f4:f2:6d:af:45:26,2422,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,NRD90M.G950FXXU1AQJ5,32.16931815,34.81204693,40.15779209,1,Home,82:2a:a8:bf:94:29,2462,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,NRD90M.G950FXXU1AQJ5,32.16988799,34.81228859,40.15438646,2,  InnovationEndeavors,74:da:38:a9:1c:df,2417,-88,snapper1,00:78:9e:fa:0e:db,2412,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:09,PB2-690Y_S200032_161214,32.17254002,34.81256671,36,3,DIRECT-CC-HP DeskJet 4670 series,70:5a:0f:b2:64:cd,2437,-68,ELDAD,10:0d:7f:80:17:80,2462,-77,Lahav,b0:b2:8f:01:ad:fe,2462,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:04,NRD90M.G950FXXU1AQJ5,32.17227247,34.81408017,47.69363736,1,BezeqFree,06:ae:db:58:73:75,2412,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:09,PB2-690Y_S200032_161214,32.17237924,34.81348839,36,1,HOTBOX-1234,7c:03:4c:ba:f5:5a,2437,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,NRD90M.G950FXXU1AQJ5,32.16994496,34.81096824,41.15224303,2,Rozenkrants,86:2a:a8:a1:a0:b5,2412,-89,RS_GUEST,ec:08:6b:38:0d:dd,2467,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:07,NRD90M.G950FXXU1AQJ5,32.17228718,34.81407568,39.7656339,1,Orit,c4:a8:1d:12:7d:4c,2437,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.1698844,34.8123046,28,1,HOTBOX-8156,b4:ee:b4:a7:81:5c,2412,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:07,NRD90M.G950FXXU1AQJ5,32.17225794,34.81441454,40.08129431,2,Km,48:ee:0c:3d:eb:b8,2452,-85,HUAWEI-009D,14:9d:09:80:00:9d,2427,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.1695048,34.81211179,27,1,DIRECT-A5-HP DeskJet 3700 series,40:b0:34:62:33:a6,2437,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:09,PB2-690Y_S200032_161214,32.17206721,34.81192728,32,2,KaymeraGuest,00:f6:63:15:58:82,2412,-94,alfa,f4:f2:6d:5e:d0:48,2462,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:04,PB2-690Y_S200032_161214,32.17244679,34.81292387,39,1,sellahome,d8:fb:5e:17:47:f8,2452,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.17005572,34.81236632,30,1,Siemens,d0:d4:12:5e:db:f2,2462,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:04,NRD90M.G950FXXU1AQJ5,32.17221785,34.81439829,49.17354104,1,BezeqFree,06:ae:db:58:73:75,2412,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,PB2-690Y_S200032_161214,32.17153243,34.81172407,31,2,SEW132_23574336,08:97:58:31:e0:c6,2422,-87,Shani - Green,54:b8:0a:34:78:d0,2437,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:11,PB2-690Y_S200032_161214,32.17056857,34.81258185,32,2,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,2437,-73,Oded,14:cc:20:76:b8:2a,2462,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:04,PB2-690Y_S200032_161214,32.17247957,34.81271468,40,1,DIRECT-CC-HP DeskJet 4670 series,70:5a:0f:b2:64:cd,2437,-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,PB2-690Y_S200032_161214,32.16902724,34.81057961,21,1,GFCM,14:ae:db:32:d5:c2,2427,-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.17104463,34.81283858,28,1,klaiman,a0:ab:1b:62:0d:fc,2417,-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:11,PB2-690Y_S200032_161214,32.1710117,34.81277801,37,2,HOTBOX-2017,c0:ac:54:f5:7d:bd,2462,-72,HP-Print-AF-Officejet Pro 6830,28:80:23:40:5f:af,2437,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:10,PB2-690Y_S200032_161214,32.16931851,34.81071738,31,1,Alpha125,10:fe:ed:74:fc:46,2412,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:07,PB2-690Y_S200032_161214,32.17241585,34.81336604,28,1,sellahome,d8:fb:5e:17:47:f8,2452,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:04,NRD90M.G950FXXU1AQJ5,32.17244369,34.81206366,42.9234122,2,kenley-up,88:dc:96:3b:f5:e0,2437,-87,DIR-825-4f83,80:26:89:0d:4f:84,2412,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,NRD90M.G950FXXU1AQJ5,32.17184565,34.81297115,39.68353275,1,HOTBOX-2017,c0:ac:54:f5:7d:bd,2462,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:04,NRD90M.G950FXXU1AQJ5,32.17225038,34.81198974,42.69739355,1,varda,c4:12:f5:85:27:c2,2412,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:09,PB2-690Y_S200032_161214,32.17180755,34.81183239,31,1,BezeqNGN_10072E_5GHz_1,c4:04:15:60:6a:b6,5240,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.17123718,34.81290186,30,2,maya salon,c4:a8:1d:12:df:c5,2412,-94,@Cafe,52:a8:1d:12:df:c4,2412,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:11,PB2-690Y_S200032_161214,32.17238006,34.81359923,34,2,Lahav,b0:b2:8f:01:ad:fe,2462,-88,DIRECT-CC-HP DeskJet 4670 series,70:5a:0f:b2:64:cd,2437,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.17144111,34.81293238,31,2,DIRECT-75-HP DeskJet 4670 series,b0:5a:da:fa:44:76,2437,-85,ELDAD,10:0d:7f:80:17:80,2462,-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,NRD90M.G950FXXU1AQJ5,32.16945778,34.81076505,40.54230602,2,Lili,c4:12:f5:f9:5c:7c,2462,-79,HOTBOX-2E6E,b0:b2:8f:1e:ea:68,2462,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,NRD90M.G950FXXU1AQJ5,32.16871463,34.81081987,39.79204611,1,A-Home,00:25:86:b1:6f:f8,2437,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:10,PB2-690Y_S200032_161214,32.16874453,34.81063066,28,3,INGENEO,cc:b2:55:e8:4c:e6,2437,-88,Candan,c0:ff:d4:7b:82:30,2412,-88,simon,e4:6f:13:73:0a:c2,2447,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:10,PB2-690Y_S200032_161214,32.17043936,34.81118089,29,4,Hetz2,74:da:38:6c:89:7b,2412,-83,DIRECT-85-HP OfficeJet Pro 6960,98:e7:f4:0a:dd:86,2437,-89,RDK,58:b6:33:34:ae:f8,2462,-91,gononsmarthome,18:cc:23:00:18:45,2422,-92,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,NRD90M.G950FXXU1AQJ5,32.17081506,34.81272096,39.90215021,1,TP-LINK_76C08E,14:cc:20:76:c0:8e,2412,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.1718793,34.81297015,30,2,HOTBOX-2017,c0:ac:54:f5:7d:bd,2462,-89,Oded,14:cc:20:76:b8:2a,2462,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,NRD90M.G950FXXU1AQJ5,32.16885855,34.81054028,39.92476461,1,RS_GUEST,e4:6f:13:71:f5:ce,2452,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:10,PB2-690Y_S200032_161214,32.16871788,34.811185,29,1,Avisky,00:78:9e:fa:b2:d0,2462,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:04,PB2-690Y_S200032_161214,32.17197416,34.81189999,33,2,Liza,8c:59:c3:ea:db:4a,2412,-88,INGENEO,cc:b2:55:e8:4c:e6,2437,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,NRD90M.G950FXXU1AQJ5,32.17236326,34.81307622,39.21219724,1,DIR-825-4f83,80:26:89:0d:4f:84,2412,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,NRD90M.G950FXXU1AQJ5,32.17177366,34.81183742,41.75368558,1,Liza,8c:59:c3:ea:db:4b,5180,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.17062832,34.81264147,30,2,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,2437,-58,Oded,14:cc:20:76:b8:2a,2462,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:04,PB2-690Y_S200032_161214,32.17237857,34.81205701,35,1,GFCM,14:ae:db:32:d5:c2,2427,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.17240723,34.81310031,28,1,ELDAD,10:0d:7f:80:17:80,2462,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,PB2-690Y_S200032_161214,32.16883049,34.8117473,25,2,LRWN,ec:8c:a2:09:dd:48,2462,-62,simon,e4:6f:13:73:0a:c2,2447,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.17043367,34.8125393,30,1,InnovationEndeavors-guest,14:ae:db:48:af:4d,2452,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:10,PB2-690Y_S200032_161214,32.16991843,34.81229315,30,2,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,2437,-91,snapper1,00:78:9e:fa:0e:db,2412,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,NRD90M.G950FXXU1AQJ5,32.17203899,34.81300152,39.46989889,1,DIR-825-4f83,80:26:89:0d:4f:84,2412,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,NRD90M.G950FXXU1AQJ5,32.17122086,34.81289552,39.73559705,1,DIR-825-4f83,80:26:89:0d:4f:84,2412,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,PB2-690Y_S200032_161214,32.16991824,34.81090236,25,1,,fa:8f:ca:35:6e:e9,2412,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:11,PB2-690Y_S200032_161214,32.17231097,34.81407594,39,1,DIRECT-F6-HP DeskJet 3830 series,30:e1:71:fb:1e:f7,2462,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:07,NRD90M.G950FXXU1AQJ5,32.17240575,34.81330742,38.95348705,1,DIR-825-4f83,80:26:89:0d:4f:84,2412,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:07,PB2-690Y_S200032_161214,32.17226588,34.81413733,37,1,Orit,c4:a8:1d:12:7d:4c,2437,-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,NRD90M.G950FXXU1AQJ5,32.16970425,34.81221241,40.24753875,1,InnovationEndeavors-guest,14:ae:db:48:af:4d,2452,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,NRD90M.G950FXXU1AQJ5,32.16969384,34.81086099,40.95173659,2,oved-main_2EX,74:da:38:54:b8:1c,2437,-80,bait,10:be:f5:3f:b2:ce,2457,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,NRD90M.G950FXXU1AQJ5,32.16871458,34.81107879,40.1458062,1,LRWN,0c:f4:d5:29:a2:9c,5180,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,PB2-690Y_S200032_161214,32.16875936,34.81062936,19,3,simon,e4:6f:13:73:0a:c2,2447,-79,HTC,06:c2:3e:e4:21:85,2427,-86,LRWN,ec:8c:a2:09:dd:48,2462,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:05,PB2-690Y_S200032_161214,32.17063751,34.81125367,31,1,David,c4:12:f5:82:92:78,2452,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:09,PB2-690Y_S200032_161214,32.17249007,34.81279901,35,2,dobry2016,6c:b0:ce:ac:32:9b,2412,-89,Bezeq Free GA32E3,52:b0:ce:ac:32:98,2412,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:06,PB2-690Y_S200032_161214,32.1724394,34.81321284,29,1,HOTBOX-1A14,00:07:26:4f:07:ae,2437,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:10,PB2-690Y_S200032_161214,32.16968439,34.8121884,31,1,HOTBOX-C18E,e0:ce:c3:8c:c1:94,2412,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:04,PB2-690Y_S200032_161214,32.17242844,34.81312422,41,1,Orit,c4:a8:1d:12:7d:4c,2437,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:11,PB2-690Y_S200032_161214,32.17233383,34.81384954,37,3,Lahav,b0:b2:8f:01:ad:fe,2462,-74,dobry2016,6c:b0:ce:ac:32:9b,2412,-84,Bezeq Free GA32E3,52:b0:ce:ac:32:98,2412,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:04,NRD90M.G950FXXU1AQJ5,32.17230692,34.81390382,46.7222322,1,Lahav,fc:b4:e6:d2:86:9e,2462,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:11,PB2-690Y_S200032_161214,32.17072078,34.81264811,34,2,Oded,14:cc:20:76:b8:2a,2462,-72,HOTBOX-2017,c0:ac:54:f5:7d:bd,2462,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:03,PB2-690Y_S200032_161214,32.17223176,34.81443004,45,1,HUAWEI-00F1,14:9d:09:80:00:f1,2437,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:10,PB2-690Y_S200032_161214,32.17035702,34.81248459,32,2,HOTBOX-62EF,d8:fb:5e:17:62:f5,2412,-80,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,2437,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:09,PB2-690Y_S200032_161214,32.1723185,34.81202557,33,2,Candan,c0:ff:d4:7b:82:30,2412,-89,KaymeraDev,00:f6:63:15:58:81,2412,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2017 11:07,PB2-690Y_S200032_161214,32.17233583,34.81372174,33,1,DIRECT-CC-HP DeskJet 4670 series,70:5a:0f:b2:64:cd,2437,-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
